 189139 ( 1.059716e+02, 2.148390e+02, 0.000000e+00)
 189140 ( 1.059718e+02, 2.137573e+02, 0.000000e+00)
 189141 ( 1.059716e+02, 2.148390e+02,-1.000000e+00)
 189142 ( 1.071125e+02, 2.153576e+02, 0.000000e+00)
 189143 ( 1.059718e+02, 2.137573e+02,-1.000000e+00)
 189144 ( 1.071125e+02, 2.153576e+02,-1.000000e+00)
 189145 ( 1.071153e+02, 2.142815e+02, 0.000000e+00)
 189146 ( 1.071153e+02, 2.142815e+02,-1.000000e+00)
 189147 ( 1.059720e+02, 2.126756e+02, 0.000000e+00)
 189148 ( 1.059720e+02, 2.126756e+02,-1.000000e+00)
 189149 ( 1.071182e+02, 2.132054e+02, 0.000000e+00)
 189150 ( 1.071182e+02, 2.132054e+02,-1.000000e+00)
 189151 ( 1.059723e+02, 2.115939e+02, 0.000000e+00)
 189152 ( 1.059723e+02, 2.115939e+02,-1.000000e+00)
 189153 ( 1.071211e+02, 2.121294e+02, 0.000000e+00)
 189154 ( 1.071211e+02, 2.121294e+02,-1.000000e+00)
 189155 ( 1.059725e+02, 2.105121e+02, 0.000000e+00)
 189156 ( 1.059725e+02, 2.105121e+02,-1.000000e+00)
 189157 ( 1.071240e+02, 2.110533e+02, 0.000000e+00)
 189158 ( 1.071240e+02, 2.110533e+02,-1.000000e+00)
 189159 ( 1.059727e+02, 2.094304e+02, 0.000000e+00)
 189160 ( 1.059727e+02, 2.094304e+02,-1.000000e+00)
 189161 ( 1.071269e+02, 2.099772e+02, 0.000000e+00)
 189162 ( 1.071269e+02, 2.099772e+02,-1.000000e+00)
 189163 ( 1.059729e+02, 2.083487e+02, 0.000000e+00)
 189164 ( 1.059729e+02, 2.083487e+02,-1.000000e+00)
 189165 ( 1.071297e+02, 2.089012e+02, 0.000000e+00)
 189166 ( 1.071297e+02, 2.089012e+02,-1.000000e+00)
 189167 ( 1.059731e+02, 2.072670e+02, 0.000000e+00)
 189168 ( 1.059731e+02, 2.072670e+02,-1.000000e+00)
 189169 ( 1.071326e+02, 2.078251e+02, 0.000000e+00)
 189170 ( 1.071326e+02, 2.078251e+02,-1.000000e+00)
 189171 ( 1.059734e+02, 2.061853e+02, 0.000000e+00)
 189172 ( 1.059734e+02, 2.061853e+02,-1.000000e+00)
 189173 ( 1.071355e+02, 2.067491e+02, 0.000000e+00)
 189174 ( 1.071355e+02, 2.067491e+02,-1.000000e+00)
 189175 ( 1.059736e+02, 2.051035e+02, 0.000000e+00)
 189176 ( 1.059736e+02, 2.051035e+02,-1.000000e+00)
 189177 ( 1.071384e+02, 2.056730e+02, 0.000000e+00)
 189178 ( 1.071384e+02, 2.056730e+02,-1.000000e+00)
 189179 ( 1.059738e+02, 2.040218e+02, 0.000000e+00)
 189180 ( 1.059738e+02, 2.040218e+02,-1.000000e+00)
 189181 ( 1.071413e+02, 2.045969e+02, 0.000000e+00)
 189182 ( 1.071413e+02, 2.045969e+02,-1.000000e+00)
 189183 ( 1.059740e+02, 2.029401e+02, 0.000000e+00)
 189184 ( 1.059740e+02, 2.029401e+02,-1.000000e+00)
 189185 ( 1.071441e+02, 2.035209e+02, 0.000000e+00)
 189186 ( 1.071441e+02, 2.035209e+02,-1.000000e+00)
 189187 ( 1.059742e+02, 2.018584e+02, 0.000000e+00)
 189188 ( 1.059742e+02, 2.018584e+02,-1.000000e+00)
 189189 ( 1.071470e+02, 2.024448e+02, 0.000000e+00)
